"Code","Full Description","Class","Approach"
"0B5K4Z3","Destruction of Right Lung using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5K4ZZ","Destruction of Right Lung, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5L0Z3","Destruction of Left Lung using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5L0ZZ","Destruction of Left Lung, Open Approach","lung","Open Approach"
"0B5L4Z3","Destruction of Left Lung using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5L4ZZ","Destruction of Left Lung, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5M0Z3","Destruction of Bilateral Lungs using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5M0ZZ","Destruction of Bilateral Lungs, Open Approach","lung","Open Approach"
"0B5M4Z3","Destruction of Bilateral Lungs using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5M4ZZ","Destruction of Bilateral Lungs, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB10ZZ","Excision of Trachea, Open Approach","lung","Open Approach"
"0BB14ZZ","Excision of Trachea, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB20ZZ","Excision of Carina, Open Approach","lung","Open Approach"
"0BB24ZZ","Excision of Carina, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB30ZZ","Excision of Right Main Bronchus, Open Approach","lung","Open Approach"
"0BB34ZZ","Excision of Right Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB40ZZ","Excision of Right Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0BB44ZZ","Excision of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB50ZZ","Excision of Right Middle Lobe Bronchus, Open Approach","lung","Open Approach"
"0BB54ZZ","Excision of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB60ZZ","Excision of Right Lower Lobe Bronchus, Open Approach","lung","Open Approach"
"0BB64ZZ","Excision of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB70ZZ","Excision of Left Main Bronchus, Open Approach","lung","Open Approach"
"0BB74ZZ","Excision of Left Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB80ZZ","Excision of Left Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0BB84ZZ","Excision of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BB90ZZ","Excision of Lingula Bronchus, Open Approach","lung","Open Approach"
"0BB94ZZ","Excision of Lingula Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBB0ZZ","Excision of Left Lower Lobe Bronchus, Open Approach","lung","Open Approach"
"0BBB4ZZ","Excision of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBC0ZZ","Excision of Right Upper Lung Lobe, Open Approach","lung","Open Approach"
"0BBC4ZZ","Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBD0ZZ","Excision of Right Middle Lung Lobe, Open Approach","lung","Open Approach"
"0BBD4ZZ","Excision of Right Middle Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBF0ZZ","Excision of Right Lower Lung Lobe, Open Approach","lung","Open Approach"
"0BBF4ZZ","Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBG0ZZ","Excision of Left Upper Lung Lobe, Open Approach","lung","Open Approach"
"0BBG4ZZ","Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBH0ZZ","Excision of Lung Lingula, Open Approach","lung","Open Approach"
"0BBH4ZZ","Excision of Lung Lingula, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBJ0ZZ","Excision of Left Lower Lung Lobe, Open Approach","lung","Open Approach"
"0BBJ4ZZ","Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBK0ZZ","Excision of Right Lung, Open Approach","lung","Open Approach"
"0BBK4ZZ","Excision of Right Lung, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBL0ZZ","Excision of Left Lung, Open Approach","lung","Open Approach"
"0BBL4ZZ","Excision of Left Lung, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BBM0ZZ","Excision of Bilateral Lungs, Open Approach","lung","Open Approach"
"0BBM4ZZ","Excision of Bilateral Lungs, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT10ZZ","Resection of Trachea, Open Approach","lung","Open Approach"
"0BT14ZZ","Resection of Trachea, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT20ZZ","Resection of Carina, Open Approach","lung","Open Approach"
"0BT24ZZ","Resection of Carina, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT30ZZ","Resection of Right Main Bronchus, Open Approach","lung","Open Approach"
"0BT34ZZ","Resection of Right Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT40ZZ","Resection of Right Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0BT44ZZ","Resection of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT50ZZ","Resection of Right Middle Lobe Bronchus, Open Approach","lung","Open Approach"
"0BT54ZZ","Resection of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT60ZZ","Resection of Right Lower Lobe Bronchus, Open Approach","lung","Open Approach"
"0BT64ZZ","Resection of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT70ZZ","Resection of Left Main Bronchus, Open Approach","lung","Open Approach"
"0BT74ZZ","Resection of Left Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT80ZZ","Resection of Left Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0BT84ZZ","Resection of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0BT90ZZ","Resection of Lingula Bronchus, Open Approach","lung","Open Approach"
